trade_date,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-08-24,2230,0.9574742554523478,1,1,37.63,1869894528.0,38.2,38.33,36.67,489419.0,-0.016209150326797372,-0.020052083333333193,0.06449787835926446,0.02400968628090962,1531354164.0,2020
2020-08-24,1,0.7530342048263444,2,1,12.2,1338031968.0,12.24,12.45,12.15,919449.0,0.0008203445447088065,-0.0564578499613303,0.11111111111111094,0.02334657088521495,2113778542.4,2020
2020-08-24,600000,0.7462713836171817,3,1,8.52,408922480.0,8.63,8.63,8.5,389828.0,-0.004672897196261738,-0.04269662921348327,0.01067615658362997,0.01373084846194591,527619266.4,2020
2020-08-25,2230,0.8926367264257054,1,1,37.53,1276811456.0,37.6,38.28,37.41,332839.0,-0.0026574541589158285,-0.011848341232227333,0.060169491525423835,0.024044657560185957,1552163871.2,2020
2020-08-25,600000,0.6562413511979504,2,1,8.51,396122400.0,8.54,8.57,8.47,378973.0,-0.0011737089201877549,-0.02742857142857147,0.007100591715976323,0.013729925136502443,530425400.8,2020
2020-08-26,2230,0.9778287810568763,1,1,36.53,1430263904.0,37.4,37.9,36.31,380838.0,-0.026645350386357625,-0.019328859060402603,-0.000820568927789922,0.023868524273888463,1557512850.4,2020
2020-08-26,1,0.9154100015928927,2,1,12.11,1057274176.0,12.34,12.35,12.02,734118.0,-0.018638573743922193,-0.05685358255451711,0.07358156028368801,0.0237838763817799,2038083242.4,2020
2020-08-26,600000,0.7454780926744851,3,1,8.43,408174288.0,8.5,8.51,8.41,392787.0,-0.009400705052878933,-0.02430555555555569,-0.016336056009334965,0.013497476021883642,527129454.4,2020
2020-08-27,2230,0.8257283026756563,1,1,36.65,1095942560.0,36.6,36.89,35.92,296103.0,0.003284971256501512,-0.0032635300516726806,0.02862756104406383,0.023094614413736506,1539439867.2,2020
2020-08-28,2230,0.8712683080431282,1,1,36.92,956678560.0,36.59,36.99,36.16,257393.0,0.007366984993178782,-0.0347712418300653,0.024986118822876158,0.02303268449586767,1531100255.2,2020
2020-08-31,2230,0.8470055181220442,1,1,37.09,1340091552.0,37.39,38.04,37.06,350497.0,0.004604550379198269,-0.01435025245814503,-0.0016150740242260042,0.021957182392078296,1517740894.4,2020
2020-08-31,600000,0.7369898936218724,2,1,8.42,835524368.0,8.52,8.57,8.38,800374.0,-0.011737089201877882,-0.011737089201877882,-0.005903187721369663,0.013695109116380654,527857146.4,2020
2020-09-01,600000,0.6676180007923379,1,1,8.35,555922096.0,8.37,8.42,8.32,539312.0,-0.008313539192399078,-0.018801410105757976,-0.04243119266055062,0.01186377648995289,508791496.0,2020
2020-09-01,2230,0.6579637802632344,2,1,37.76,1488677840.0,37.09,38.03,36.95,388793.0,0.01806416823941759,0.006128430588862255,0.024138866286954164,0.022230277373196584,1537869485.6,2020
2020-09-02,2230,0.7543590377818823,1,1,37.57,1086570528.0,37.63,37.83,37.17,285216.0,-0.005031779661016866,0.028469750889679624,0.020369364475828267,0.02226964458983431,1542210626.4,2020
2020-09-02,600000,0.725904353787573,2,1,8.24,578763472.0,8.34,8.35,8.18,567871.0,-0.013173652694610682,-0.022538552787663035,-0.03850641773628938,0.01162568747433974,513562720.8,2020
2020-09-03,2230,0.8948352082017598,1,1,36.63,1160045120.0,37.47,37.55,36.62,308803.0,-0.025019962736225643,-0.0005457025920871938,-0.03858267716535435,0.021533418005182797,1464923033.6,2020
2020-09-03,1,0.8509412374474203,2,1,12.64,1919266720.0,13.06,13.07,12.58,1279842.0,-0.03215926493108723,0.03606557377049202,0.08591065292096212,0.025080914519333714,2084760737.6,2020
2020-09-03,600000,0.6855935998318116,3,1,8.18,414701616.0,8.25,8.29,8.17,408320.0,-0.00728155339805836,-0.027348394768133222,-0.047729918509895275,0.011640302350781766,512012860.0,2020
2020-09-04,2230,0.853529646809693,1,1,36.38,1098047760.0,36.19,36.6,35.78,298619.0,-0.006825006825006863,-0.014626218851570894,-0.027012570205937392,0.021205364501598628,1432075282.4,2020
2020-09-04,1,0.7870824774699213,2,1,12.7,1353550816.0,12.47,12.8,12.34,909890.0,0.004746835443037778,-0.013209013209013243,0.11013986013986021,0.024560549258271825,2084622989.6,2020
2020-09-04,600000,0.7623402608992413,3,1,8.13,387141424.0,8.13,8.21,8.07,384440.0,-0.006112469437652646,-0.04577464788732377,-0.04240282685512364,0.011473186920799901,508283410.4,2020
2020-09-07,2230,0.9675750016401208,1,1,35.45,1012719856.0,36.38,36.62,35.3,277078.0,-0.025563496426608046,-0.04421677001887303,-0.053657234383342134,0.02187591829566181,1428677228.0,2020
