trade_date,engine,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-06-18,u2,2230,0.8651974549279277,2,1,34.38,1024844848.0,34.3,34.84,34.2,292250.0,-0.0005813953488370549,0.0064402810304451386,0.06869754429592789,0.019819189167178414,1103166220.8,2020
2020-06-18,u2,1,0.5994753817024852,3,1,10.5,1419972016.0,10.5,10.54,10.33,1119648.0,-0.008498583569405138,-0.02957486136783738,-0.03934126258005488,0.017897498797732534,953963351.2,2020
2020-06-18,u2,600000,0.5519894037936242,4,1,7.96,218713603.0,7.88,8.03,7.85,208566.0,0.003783102143757988,0.0025188916876572875,0.021822849807445532,0.012632442778129513,234810959.1,2020
2020-06-19,u2,2230,0.7742813770206011,1,1,34.61,1074496496.0,34.54,34.93,34.41,304670.0,0.006689936009307562,0.011988304093567104,0.09179810725552051,0.019361151975599098,1120411411.2,2020
2020-06-19,u2,300750,0.3037884066031461,2,1,78.48,4137793344.0,75.19,80.09,74.73,250193.0,0.051728759045832184,0.04905761261863395,0.19761941095681368,0.02617348119120403,2522118914.4,2020
2020-06-19,u2,600000,0.25786465579360307,3,1,8.07,422462432.0,8.02,8.14,7.96,398145.0,0.013819095477386911,0.0074906367041198685,0.06184210526315792,0.01139421130159141,243773850.15,2020
2020-06-19,u2,1,0.14277310312662356,4,1,10.54,1954584912.0,10.47,10.58,10.35,1539522.0,0.003809523809523707,-0.017707362534948867,0.008612440191387627,0.014929363128619491,995720922.4,2020
2020-06-22,u2,300750,0.9639780243190517,1,1,77.98,3191062032.0,78.4,81.48,77.7,190412.0,-0.006371049949031593,0.05492424242424243,0.17510548523206748,0.026392886146585224,2607559960.8,2020
2020-06-22,u2,600000,0.530193725717896,2,1,8.01,260728901.0,8.03,8.12,7.99,246119.0,-0.0074349442379182396,0.025608194622279257,0.03622250970245777,0.011120909194672039,248788377.3,2020
2020-06-22,u2,2230,0.5066555758932559,3,1,34.93,1349650752.0,34.9,35.27,34.61,380028.0,0.009245882692863416,0.0451825254338718,0.1322528363047002,0.017908609477265802,1143459679.2,2020
2020-06-22,u2,1,0.5033597901450028,4,1,10.38,1671023280.0,10.48,10.5,10.36,1319080.0,-0.015180265654648806,-0.017045454545454475,-0.010486177311725409,0.015308906046227271,1052833618.4,2020
2020-06-23,u2,2230,0.8854626405264022,1,1,34.72,1009378224.0,34.94,35.08,34.49,285912.0,-0.006012024048096198,0.010183299389002087,0.10222222222222221,0.017762667446015186,1162493517.6,2020
2020-06-23,u2,300750,0.8592799923655895,2,1,80.14,2662217152.0,78.53,80.27,77.16,159475.0,0.027699410105155087,0.065691489361702,0.15243025596778814,0.02515881497654397,2610856188.0,2020
2020-06-23,u2,600000,0.689177288949091,3,1,7.94,206109220.0,7.97,8.03,7.93,196022.0,-0.008739076154806402,0.0037926675094817064,0.027166882276843385,0.011365975172680195,251708167.45,2020
